Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Identifier,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_Drinks,Item_Type_Combined_Food,Item_Type_Combined_Non-Consumable,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDY07,45.5402,1516.0266,6,0.0,11.8,1999,OUT049,1171,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
FDA03,144.1102,2187.153,4,0.045463773,18.5,1997,OUT046,147,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
FDX32,145.4786,1589.2646,6,0.1000135,15.1,1999,OUT049,1142,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
FDS46,119.6782,2145.2076,13,0.047257328,17.6,1997,OUT046,904,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
FDF32,196.4426,1977.426,6,0.0680243,16.35,1987,OUT013,375,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
FDP49,56.3614,1547.3192,2,0.069088961,9.0,1997,OUT046,767,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
NCB42,115.3492,1621.8888,8,0.008596051,11.8,2009,OUT018,1280,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
FDP49,54.3614,718.3982,2,0.069196376,9.0,1999,OUT049,767,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
DRI11,113.2834,2303.668,7,0.034237682,12.792854228644284,1985,OUT027,79,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
FDU02,230.5352,2748.4224,4,0.10249212,13.35,2004,OUT035,968,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
FDN22,250.8724,3775.086,13,0.138190277,18.85,1987,OUT013,666,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
FDW12,144.5444,4064.0432,0,0.035399923,12.792854228644284,1985,OUT027,1076,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
NCB30,196.5084,1587.2672,9,0.025698134,14.6,2004,OUT035,1278,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
FDC37,107.6938,214.3876,0,0.057556998,12.792854228644284,1985,OUT019,259,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
FDR28,165.021,4078.025,5,0.025896485,13.85,1997,OUT046,843,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
NCD06,45.906,838.908,9,0.099887103,13.0,2007,OUT017,1294,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
FDV10,42.3112,1065.28,13,0.066693437,7.645,2004,OUT035,1024,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
DRJ59,39.1164,308.9312,7,0.019356132,11.65,1987,OUT013,101,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
FDE51,45.5086,178.4344,4,0.161466534,5.925,1998,OUT010,350,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
FDC14,43.6454,125.8362,3,0.072221801,12.792854228644284,1985,OUT019,244,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
FDV38,55.7956,163.7868,4,0.170348551,19.25,1998,OUT010,1048,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
NCS17,96.4436,2741.7644,8,0.080829372,18.6,2009,OUT018,1480,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
FDP33,256.6672,3068.0064,13,0.0,18.7,2009,OUT018,756,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
FDO23,93.1436,2174.5028,1,0.0,17.85,2002,OUT045,706,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRH01,174.8738,2085.2856,14,0.097904029,17.5,1997,OUT046,64,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
NCX29,146.7102,3791.0652,8,0.089291137,10.0,1999,OUT049,1533,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
FDV20,128.0678,2797.6916,6,0.059511812,12.792854228644284,1985,OUT027,1032,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
DRZ11,122.5388,1609.9044,14,0.113123893,8.85,2009,OUT018,143,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
FDX10,36.9874,388.1614,13,0.123111453,12.792854228644284,1985,OUT027,1124,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
FDB34,87.6198,2180.495,13,0.026480954,12.792854228644284,1985,OUT027,214,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
FDU02,230.6352,3435.528,4,0.102511504,13.35,1997,OUT046,968,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
FDK43,126.002,2150.534,10,0.02681843,9.8,1987,OUT013,567,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
FDA46,192.9136,2527.3768,13,0.117818348,13.6,1999,OUT049,180,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
FDC02,259.9278,6768.5228,3,0.069102831,21.35,2009,OUT018,236,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
FDL50,126.5046,373.5138,3,0.042277867,12.15,1987,OUT013,611,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
FDM39,178.1002,358.2004,4,0.089498926,6.42,1998,OUT010,641,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
NCP05,153.3024,2428.8384,8,0.0,19.6,2002,OUT045,1438,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
FDV49,265.2226,5815.0972,3,0.025879577,10.0,2002,OUT045,1057,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
FDL12,60.622,2576.646,0,0.121632721,15.85,1997,OUT046,586,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
FDS02,196.8794,780.3176,4,0.255394896,12.792854228644284,1985,OUT019,869,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
NCL17,143.8812,3134.5864,8,0.067779712,7.39,1997,OUT046,1378,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
FDM40,141.5154,850.8924,5,0.159803853,10.195,1987,OUT013,642,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
FDR13,117.0492,810.9444,3,0.028696932,9.895,1987,OUT013,830,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
FDA43,196.3794,3121.2704,6,0.065041581,10.895,2007,OUT017,177,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
NCP18,151.4708,4815.0656,9,0.028760013,12.15,2007,OUT017,1442,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
FDK21,249.0408,6258.52,13,0.010053105,7.905,2009,OUT018,553,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
NCX54,106.1622,2117.244,9,0.048157338,9.195,2002,OUT045,1538,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
DRK35,38.0506,796.9626,7,0.071958197,8.365,1999,OUT049,107,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
FDY21,194.511,4910.275,13,0.173481304,15.1,1997,OUT046,1183,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
FDI26,180.0344,892.172,3,0.061082177,12.792854228644284,1985,OUT019,485,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
FDM20,246.9144,3185.1872,6,0.0,10.0,2009,OUT018,629,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
FDV27,87.3514,1062.6168,10,0.040071131,7.97,2002,OUT045,1039,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
FDF09,38.2848,484.7024,6,0.012090074,12.792854228644284,1985,OUT027,361,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
FDY40,51.0692,147.8076,5,0.15028599,12.792854228644284,1985,OUT019,1199,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
FDY45,255.8356,2543.356,13,0.026015519,12.792854228644284,1985,OUT027,1202,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
FDC46,185.4266,184.4266,13,0.195068226,17.7,1998,OUT010,266,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
FDH19,172.5738,4865.6664,10,0.033082215,19.35,2004,OUT035,441,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
FDZ03,186.024,1118.544,4,0.078946455,13.65,2002,OUT045,1218,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRH37,164.8526,2302.3364,14,0.041700756,17.6,2002,OUT045,72,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
NCI17,95.841,2027.361,8,0.143422643,8.645,1997,OUT046,1343,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
FDJ58,170.1764,3435.528,13,0.105296072,15.6,1997,OUT046,541,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
FDL12,59.222,599.22,0,0.121531501,15.85,1987,OUT013,586,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
FDH35,164.7526,4604.6728,15,0.0,18.25,2002,OUT045,453,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
FDG02,189.6188,2285.0256,3,0.011324862,7.855,2007,OUT017,394,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
NCZ18,254.3698,5580.7356,9,0.186357148,7.825,1999,OUT049,1552,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
FDC29,114.0176,2290.352,5,0.024205661,8.39,1997,OUT046,254,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
FDQ10,172.3422,1207.0954,13,0.033230816,12.85,1999,OUT049,781,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
FDN48,89.9804,643.1628,0,0.113720344,12.792854228644284,1985,OUT019,682,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
FDL04,104.9622,1587.933,5,0.112556507,19.0,2007,OUT017,582,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
FDV25,222.5456,5305.0944,3,0.0,5.905,2002,OUT045,1037,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
FDD58,101.87,1697.79,13,0.059352241,7.76,1997,OUT046,316,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
FDN04,180.3344,1427.4752,5,0.014087057,11.8,1997,OUT046,656,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
FDV45,187.9556,4693.89,13,0.045230944,16.75,2009,OUT018,1053,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
NCL18,194.6136,583.2408,9,0.293417759,12.792854228644284,1985,OUT019,1379,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
FDR12,171.3764,3091.9752,0,0.031382044,12.792854228644284,1985,OUT027,829,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
FDG20,177.0028,2479.4392,6,0.12639886,15.5,2007,OUT017,404,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
FDZ55,160.992,2716.464,6,0.025403898,6.055,2004,OUT035,1258,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
FDQ49,155.963,3285.723,2,0.039057677,12.792854228644284,1985,OUT027,811,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
FDN33,95.6436,661.8052,13,0.123115764,6.305,1997,OUT046,674,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
FDN27,117.2808,1523.3504,10,0.039624006,20.85,1999,OUT049,670,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
FDW20,122.173,369.519,6,0.040421193,20.75,1998,OUT010,1082,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
DRG27,39.9138,690.4346,4,0.105274111,8.895,1999,OUT049,57,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
DRI25,55.1614,1381.535,14,0.033970195,19.6,2002,OUT045,82,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
FDA44,57.893,622.523,6,0.053212652,19.7,2004,OUT035,178,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
NCR17,114.5492,1274.3412,8,0.024378706,9.8,2004,OUT035,1468,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
FDU04,120.0414,487.3656,5,0.009714595,12.792854228644284,1985,OUT019,970,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
FDF41,246.046,1231.73,5,0.131383762,12.15,1999,OUT049,382,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
FDB56,187.4556,3755.112,6,0.07461309,8.75,2004,OUT035,231,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
NCP18,149.9708,4363.6532,9,0.028459761,12.792854228644284,1985,OUT027,1442,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
FDB56,187.8556,1314.2892,6,0.074627201,8.75,1997,OUT046,231,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
FDT28,151.0708,1805.6496,5,0.063695084,13.3,2002,OUT045,940,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
FDD10,178.5344,2854.9504,13,0.045797829,12.792854228644284,1985,OUT027,284,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
FDW57,179.1028,3896.2616,13,0.115857223,8.31,1999,OUT049,1113,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
DRB48,38.7822,667.7974,14,0.024832806,16.75,1987,OUT013,7,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
FDP09,212.0902,3185.853,13,0.034027909,19.75,2009,OUT018,737,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
FDH14,141.1838,2247.7408,3,0.0467696,17.1,1987,OUT013,438,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
FDA47,163.121,1794.331,0,0.116576702,10.5,1987,OUT013,181,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
FDG12,121.3098,2530.7058,0,0.0,6.635,2002,OUT045,400,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
DRE60,225.372,679.116,14,0.278974075,12.792854228644284,1985,OUT019,36,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
DRK49,41.4138,812.276,14,0.035913805,14.15,1987,OUT013,111,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
FDD03,232.53,699.09,4,0.079806266,13.3,1997,OUT046,279,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
FDS52,102.4016,2732.4432,5,0.005505481,8.89,2007,OUT017,910,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
FDW39,176.937,176.437,10,0.064625342,12.792854228644284,1985,OUT019,1099,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
FDX34,121.7098,4097.3332,13,0.071636937,12.792854228644284,1985,OUT027,1144,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
FDV11,173.2054,3151.8972,1,0.0,9.1,2002,OUT045,1025,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
FDD17,239.0906,5942.265,5,0.032677678,7.5,1999,OUT049,288,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
FDZ16,192.4478,4843.695,5,0.160760054,16.85,2007,OUT017,1228,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
FDZ46,109.0228,2542.0244,13,0.06911065,7.485,2004,OUT035,1251,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
DRA12,140.3154,2552.6772,14,0.041177505,11.6,2007,OUT017,0,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
FDY58,227.0694,1141.847,13,0.040081193,11.65,2009,OUT018,1213,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
NCF19,47.5034,680.4476,9,0.035307322,13.0,2007,OUT017,1317,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
DRJ13,159.0578,2085.9514,14,0.063017847,12.65,2002,OUT045,91,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
FDB14,92.512,186.424,3,0.171938781,20.25,1998,OUT010,200,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
FDJ38,190.153,3036.048,3,0.040197932,8.6,2004,OUT035,528,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
FDW11,62.7194,866.8716,1,0.049058014,12.6,2007,OUT017,1075,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
FDL40,95.041,868.869,5,0.01161096,17.7,2004,OUT035,605,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
DRI49,82.4276,1137.1864,14,0.183507295,14.15,1997,OUT046,86,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
FDV38,52.7956,928.1252,4,0.102349519,19.25,2007,OUT017,1048,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
DRG23,151.7682,762.341,7,0.086708987,8.88,1987,OUT013,55,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
NCP30,40.2822,707.0796,9,0.032835147,20.5,2002,OUT045,1444,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
FDY25,180.5976,7968.2944,3,0.033809913,12.792854228644284,1985,OUT027,1186,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
NCH54,160.292,1438.128,9,0.07266912,13.5,1997,OUT046,1340,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
NCR53,224.4404,6976.2524,8,0.144338493,12.792854228644284,1985,OUT027,1476,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
FDS52,101.7016,101.2016,5,0.009163216,8.89,1998,OUT010,910,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
FDG02,188.5188,952.094,3,0.011307038,7.855,2009,OUT018,394,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
NCO26,116.0492,1969.4364,9,0.076855628,7.235,1997,OUT046,1428,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
FDH35,165.4526,5262.4832,15,0.059956876,12.792854228644284,1985,OUT027,453,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
FDB51,60.5852,1314.2892,4,0.038532062,6.92,2002,OUT045,228,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
FDX44,90.8172,535.3032,6,0.043209581,9.3,2007,OUT017,1152,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
NCN07,132.1284,263.6568,11,0.056816465,18.5,1998,OUT010,1407,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
NCC31,154.5972,1402.1748,9,0.019866705,8.02,2004,OUT035,1289,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
NCX54,105.1622,1693.7952,9,0.048331717,9.195,2007,OUT017,1538,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
NCO55,105.5938,2143.876,11,0.091221855,12.8,2002,OUT045,1436,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
NCC30,177.6344,2676.516,9,0.027622076,16.6,1999,OUT049,1288,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
FDI16,53.064,905.488,5,0.0,14.0,2004,OUT035,479,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
FDP16,246.3802,7370.406,5,0.039355947,18.6,1999,OUT049,743,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
FDB11,226.8404,6301.1312,15,0.060836524,16.0,2004,OUT035,198,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
NCB06,160.692,1597.92,8,0.082316506,17.6,2004,OUT035,1274,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
FDA45,178.237,529.311,13,0.155350299,21.25,2004,OUT035,179,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
NCO26,117.5492,1969.4364,9,0.076841095,7.235,2004,OUT035,1428,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
DRJ25,50.3692,1034.6532,14,0.151419185,14.6,2007,OUT017,94,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
