Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Years,Item_Visibility_MeanRatio,Identifier,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Combine_Drinks,Item_Combine_Food,Item_Combine_Non-Consumable,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
NCJ30,167.779,2886.243,9,0.080640478,5.82,1997,OUT046,25,1.222700209294107,1358,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
DRI03,175.1028,1593.9252,4,0.0,6.03,1999,OUT049,23,0.0,78,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDJ27,100.3674,2181.2889135750365,10,0.121876033,17.7,1997,OUT046,25,1.847928667499162,522,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDZ44,118.5808,2181.2889135750365,6,0.038696828,8.185,1987,OUT013,35,0.5867353575783375,1249,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDL08,246.7144,5145.3024,6,0.049719026,10.8,1997,OUT046,25,0.7538579259921939,583,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCR05,200.2084,3174.5344,8,0.054741627,10.1,2002,OUT045,20,0.8300124261416201,1466,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDV49,264.6226,2181.2889135750365,3,0.025805706,10.0,1987,OUT013,35,0.3912754848400352,1057,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDZ56,168.7474,2181.2889135750365,6,0.025882559,16.25,2007,OUT017,15,0.3924407579325989,1259,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDF05,261.691,2181.2889135750365,5,0.04704746,12.792854228644991,1985,OUT019,37,0.7133506722114932,359,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDV27,87.3514,1062.6168,10,0.040071131,7.97,2002,OUT045,20,0.6075730386959212,1039,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRJ23,190.1872,2181.2889135750365,7,0.041733666,18.35,1999,OUT049,23,0.6327809980591925,92,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
NCT41,153.5024,2580.6408,8,0.05610384,15.7,2002,OUT045,20,0.8506667942891297,1495,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDW23,40.1164,540.6296,0,0.081996785,5.765,2004,OUT035,18,1.2432650285250528,1085,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDY44,194.411,2181.2889135750365,6,0.02438425,14.15,1987,OUT013,35,0.3697228528144368,1201,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
NCR50,151.434,2181.2889135750365,9,0.011886946,20.2,2007,OUT017,15,0.18023419159380166,1475,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
NCD30,96.5726,2181.2889135750365,9,0.026891006,19.7,1999,OUT049,23,0.40773119752996856,1298,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDD26,184.8924,2181.2889135750365,3,0.072267645,8.71,1999,OUT049,23,1.0957482750374101,293,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRF36,191.5846,2181.2889135750365,14,0.023557678,16.1,1987,OUT013,35,0.35719006800881287,44,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDV28,35.6558,2181.2889135750365,5,0.279663801,12.792854228644991,1985,OUT019,37,4.240364101198476,1040,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDT40,125.8678,2181.2889135750365,5,0.095944263,5.985,1999,OUT049,23,1.4547417545152552,950,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDA27,255.5672,2181.2889135750365,4,0.030777863,12.792854228644991,1985,OUT027,37,0.46666513474443133,165,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDD32,83.2276,2181.2889135750365,6,0.068511767,17.7,1998,OUT010,24,1.0388002889815346,296,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDM45,122.5756,2181.1608,13,0.088693595,8.655,2007,OUT017,15,1.3448044934647678,644,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDO13,166.3526,1973.4312,2,0.061405051,7.865,2007,OUT017,15,0.9310456804263402,699,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDG05,155.263,625.852,5,0.0,11.0,1999,OUT049,23,0.0,396,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDV52,119.7466,4006.7844,5,0.122208091,20.7,2007,OUT017,15,1.8529634514707771,1060,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV09,149.5734,2227.101,13,0.020652362,12.1,2009,OUT018,13,0.31313861184971725,1023,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
DRH01,172.6738,2181.2889135750365,14,0.097885516,17.5,2004,OUT035,18,1.4841757374015276,64,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
FDM44,104.999,1444.786,6,0.031112643,12.5,2002,OUT045,20,0.47174119066844855,643,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
NCR05,197.5084,2976.126,8,0.054620504,10.1,2004,OUT035,18,0.8281759152339053,1466,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDO57,161.3578,4492.8184,13,0.109153001,20.75,2009,OUT018,13,1.6550174363770496,729,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
DRK01,94.6436,2181.2889135750365,14,0.0607686,12.792854228644991,1985,OUT027,37,0.9213955792587175,102,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
FDC15,156.5288,2181.2889135750365,4,0.178329981,18.1,2002,OUT045,20,2.703903926414153,245,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
NCI42,208.3954,2709.1402,9,0.01035692,18.75,1987,OUT013,35,0.15703538180468526,1348,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FDM04,51.4666,2181.2889135750365,5,0.047216172,9.195,2002,OUT045,20,0.7159087448175413,620,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRC27,246.9802,5896.3248,4,0.058192802,13.8,1999,OUT049,23,0.8823403946689221,13,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDC53,100.4384,2181.2889135750365,5,0.015470159,12.792854228644991,1985,OUT019,37,0.23456416822223095,272,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDB16,86.0198,1569.9564,4,0.044925784,8.21,1997,OUT046,25,0.6811810502847199,202,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
DRD15,232.6642,2181.2889135750365,4,0.056520886,12.792854228644991,1985,OUT027,37,0.8569901971772582,19,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
FDQ15,80.1276,2181.2889135750365,10,0.151379828,20.35,2002,OUT045,20,2.2952759205929545,786,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDX19,233.5958,2336.958,6,0.09688421,19.1,1999,OUT049,23,1.46899357223917,1131,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
NCN41,122.373,2586.633,8,0.052209303,17.0,1997,OUT046,25,0.7916164101259351,1415,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDT11,186.4556,563.2668,1,0.049163321,5.94,1998,OUT010,24,0.7454321249967463,925,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDP36,48.6008,2181.2889135750365,0,0.091172403,10.395,1997,OUT046,25,1.38238908045593,758,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDM58,112.2544,3914.904,13,0.0,12.792854228644991,1985,OUT027,37,0.0,651,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDR58,91.5462,2181.2889135750365,13,0.070167934,6.675,1998,OUT010,24,1.0639116944164826,865,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDJ33,124.373,2181.2889135750365,13,0.088501299,8.895,2002,OUT045,20,1.341888831686989,525,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDL44,162.8894,2181.2889135750365,6,0.012294203,18.25,1999,OUT049,23,0.18640917010938649,607,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDJ28,190.9162,5772.486,5,0.0,12.792854228644991,1985,OUT027,37,0.0,523,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDR27,130.7942,3047.3666,10,0.095635061,12.792854228644991,1985,OUT027,37,1.4500535215150223,842,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDV33,260.2304,2181.2889135750365,13,0.027498277,9.6,2007,OUT017,15,0.41693886094186255,1043,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV38,52.7956,928.1252,4,0.102349519,19.25,2007,OUT017,15,1.5518605718390108,1048,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DRM49,43.0086,490.6946,14,0.151827552,6.11,1987,OUT013,35,2.3020644744567598,128,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
DRG13,165.2526,2181.2889135750365,14,0.037243966,17.25,1999,OUT049,23,0.564706536376714,53,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDJ48,248.0118,2181.2889135750365,0,0.056664709,11.3,2009,OUT018,13,0.8591708937277092,534,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDJ52,159.8578,2246.4092,5,0.017814518,7.145,1999,OUT049,23,0.27011019065479297,536,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDO51,44.6112,2181.2889135750365,10,0.042047755,6.785,1999,OUT049,23,0.6375433295279739,726,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDX13,249.1092,8217.3036,3,0.047551568,12.792854228644991,1985,OUT027,37,0.7209941407572381,1127,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
DRF15,151.834,2181.2889135750365,4,0.03320771,18.35,2004,OUT035,18,0.5035073572750649,40,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
FDX37,100.47,2181.2889135750365,3,0.063029339,16.2,1997,OUT046,25,0.955673724887509,1147,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCM26,153.434,3981.484,11,0.023190134,20.5,2002,OUT045,20,0.35161723241965886,1395,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDR21,174.937,882.185,13,0.112036236,19.7,1998,OUT010,24,1.698734092396178,836,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDL36,90.283,2181.2889135750365,0,0.076012177,15.1,1987,OUT013,35,1.15252422892137,602,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDS12,125.4362,755.0172,0,0.304859104,12.792854228644991,1985,OUT019,37,4.622384434105338,877,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDH19,173.1738,7298.4996,10,0.03292824,12.792854228644991,1985,OUT027,37,0.4992699316550006,441,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDQ31,85.8856,2181.2889135750365,6,0.054151798,5.785,2007,OUT017,15,0.8210692246671976,798,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDE40,60.5194,2181.2889135750365,4,0.099297902,15.6,1999,OUT049,23,1.5055908467936625,343,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRM23,173.9422,172.4422,7,0.227189581,16.6,1998,OUT010,24,3.4447309233229055,123,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
FDO32,47.506,1071.938,6,0.121034655,6.36,2009,OUT018,13,1.8351713887452408,712,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDF57,168.6448,2897.5616,6,0.058946687,14.5,2002,OUT045,20,0.893771072786724,391,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDP57,103.699,1031.99,13,0.052657753,17.5,2009,OUT018,13,0.7984159718653626,771,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDX26,180.4292,4013.4424,4,0.087383304,12.792854228644991,1985,OUT027,37,1.3249373855349738,1138,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCA53,50.3034,972.068,8,0.009893817,11.395,1999,OUT049,23,0.15001364595851716,1272,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
NCV53,240.488,2181.2889135750365,8,0.018810044,8.27,2004,OUT035,18,0.2852047173583391,1517,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDM10,215.1218,3205.827,13,0.075603699,12.792854228644991,1985,OUT027,37,1.1463307371604203,623,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCJ30,169.179,2037.348,9,0.080765853,5.82,1999,OUT049,23,1.2246011905697913,1358,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDK14,83.2934,2181.2889135750365,3,0.041169697,6.98,1999,OUT049,23,0.624229895294953,549,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDX34,122.2098,2181.2889135750365,13,0.07239271,6.195,2007,OUT017,15,1.0976445559805286,1144,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV55,145.7444,2181.2889135750365,6,0.055384948,17.75,2007,OUT017,15,0.8397666927438505,1061,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDL50,126.1046,2181.2889135750365,3,0.04239889,12.15,2002,OUT045,20,0.6428673659007554,611,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDK48,73.3354,2181.2889135750365,0,0.037785521,7.445,2009,OUT018,13,0.5729177899340685,571,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDW31,197.9742,995.371,6,0.043122189,11.35,1987,OUT013,35,0.6538342879802874,1091,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA14,147.176,585.904,4,0.114127418,12.792854228644991,1985,OUT019,37,1.7304413532220881,155,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDW59,84.9566,2181.2889135750365,1,0.020800301,13.15,2009,OUT018,13,0.315381716686754,1115,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDF21,191.153,1707.777,6,0.0,10.3,2004,OUT035,18,0.0,369,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCO43,103.1016,2024.032,11,0.0,5.5,2002,OUT045,20,0.0,1433,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDD26,183.3924,2776.386,3,0.072141818,8.71,2004,OUT035,18,1.093840440373597,293,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDA22,165.8158,2181.2889135750365,15,0.08493006,7.435,2007,OUT017,15,1.2877404091945122,161,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDQ39,189.2846,1719.7614,10,0.081206491,14.8,2002,OUT045,20,1.2312823039285559,804,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDX08,179.3318,1263.0226,6,0.022649893,12.85,2002,OUT045,20,0.3434259022074389,1122,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDB51,61.4852,1314.2892,4,0.038610722,6.92,2009,OUT018,13,0.5854297871398602,228,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCI30,245.546,1724.422,9,0.058886477,20.25,1987,OUT013,35,0.892858146903502,1346,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
DRL23,107.0938,2181.2889135750365,7,0.0152302,12.792854228644991,1985,OUT027,37,0.23092582273124804,115,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
NCY53,113.3544,2572.6512,8,0.05848134,20.0,1997,OUT046,25,0.8867153125977233,1547,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDP27,190.153,4933.578,10,0.119351235,8.155,1987,OUT013,35,1.809646763428289,752,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
DRN47,181.166,2181.2889135750365,7,0.029461464,12.792854228644991,1985,OUT019,37,0.4467054151007239,134,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
NCG43,94.0462,2181.2889135750365,9,0.074225409,20.2,2004,OUT035,18,1.1254326037010929,1330,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
DRM48,39.1848,559.272,14,0.112349962,12.792854228644991,1985,OUT027,37,1.7034909199271482,127,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
NCF07,101.8016,1720.4272,9,0.032022535,9.0,1997,OUT046,25,0.4855373035689082,1315,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
